qid,response,gt_label
7765,False,False
7528,False,False
7493,False,False
6679,False,True
6980,False,True
21,False,True
6709,False,True
6840,False,False
6654,False,True
6826,False,False
242,False,False
7021,False,False
116,False,True
7455,False,False
1,False,True
6657,False,True
7596,False,True
7789,False,True
6769,False,True
28,False,True
6760,False,True
6730,False,True
59,False,True
6984,False,True
119,False,True
6818,False,False
138,False,False
161,False,False
7750,False,False
7433,False,False
7544,True,False
7500,False,False
7674,True,True
7163,False,False
268,True,False
6874,False,False
80,True,True
7517,False,False
6791,True,False
7403,False,False
267,True,False
7505,True,False
6908,False,False
6664,True,True
6828,False,False
6659,True,True
7710,False,True
6710,True,True
320,False,True
7443,True,False
7786,False,True
299,True,True
187,False,False
6786,True,True
7401,False,False
6783,True,True
7723,False,True
7155,True,True
70,False,True
7590,True,True
266,False,False
36,False,True
7672,False,True
6941,False,False
305,False,True
7611,False,True
39,False,True
296,False,True
71,False,True
7603,False,True
6928,False,False
282,False,True
6711,False,True
7170,False,False
7161,False,True
7047,False,False
7664,False,True
7574,False,True
7711,False,True
7175,False,False
359,False,False
89,False,True
241,False,False
6997,False,True
186,False,False
286,False,True
263,False,False
6,False,True
6943,False,False
293,False,True
6846,Unknown,False
218,False,False
6937,False,False
127,False,True
31,False,True
6638,False,True
121,False,True
7001,False,True
251,False,False
7598,False,True
7772,False,True
68,False,True
311,False,True
7617,False,True
7684,False,True
192,False,False
232,False,False
6688,False,True
6637,False,True
7525,False,False
113,False,True
7457,False,False
14,False,True
7462,False,False
7151,False,False
7565,False,True
6649,False,True
7459,False,False
313,False,True
7023,False,False
7796,Unknown,True
6736,False,True
53,True,True
165,True,False
83,True,True
7571,False,True
7788,False,True
368,True,False
33,True,True
7615,False,True
6942,False,False
7065,False,False
6964,False,True
7741,False,False
7552,False,True
6926,False,False
6995,False,True
329,True,False
6778,False,True
7797,False,True
7435,False,False
7681,False,True
122,True,True
6884,False,False
6872,False,False
328,True,False
7548,False,True
226,True,False
6701,False,True
246,False,False
175,Unknown,False
330,False,False
7489,False,False
7782,False,True
7449,False,False
6713,False,True
7025,False,False
229,False,False
7764,False,False
7061,False,False
6687,False,True
6925,False,False
7717,False,True
7043,False,False
7698,False,True
288,False,True
214,False,False
326,False,False
198,False,False
6797,False,False
6723,False,True
7745,False,False
7720,False,True
7452,False,False
169,False,False
7162,False,True
7056,False,False
7779,False,True
6772,False,True
7431,False,False
7450,Unknown,False
107,True,True
7780,True,True
6814,False,False
7661,True,True
57,False,True
6822,False,False
7512,False,False
7487,True,False
7499,True,False
6976,False,True
18,True,True
6878,False,False
7410,False,False
6909,True,False
7803,False,True
297,True,True
290,False,True
7668,True,True
6777,True,True
6831,False,False
231,True,False
182,False,False
180,True,False
7495,False,False
6725,True,True
294,False,True
258,True,False
6900,False,False
6743,True,True
6859,Unknown,False
8948,False,True
222,False,False
115,False,True
7463,False,False
366,False,False
54,False,True
7445,False,False
6758,False,True
6699,False,True
350,False,False
6987,False,True
6927,False,False
6931,False,False
7460,False,False
6766,False,True
6981,False,True
7053,False,False
7751,False,False
105,False,True
154,False,False
6907,False,False
6703,False,True
88,False,True
7564,False,True
6737,False,True
6630,False,True
7726,False,False
147,False,False
275,False,False
6681,Unknown,True
6849,False,False
7556,True,True
256,True,False
7434,False,False
188,True,False
7507,False,False
7534,False,False
6767,True,True
6986,True,True
5332,False,True
7835,True,False
2437,False,False
5353,True,True
8083,True,False
2389,False,False
2479,True,False
1857,False,False
1431,True,False
1238,False,False
5326,True,True
6431,False,True
1947,True,False
6094,False,True
1339,True,False
2518,False,False
2130,True,False
5763,True,True
5516,False,True
1317,False,False
2397,Unknown,False
7255,False,False
5203,False,True
1745,False,False
1194,False,False
1208,False,False
6272,False,True
1304,False,False
5561,False,True
1272,False,False
2236,False,False
1658,False,False
1482,False,False
5372,False,True
1967,False,False
5603,False,True
5402,False,True
5444,False,True
2406,False,False
8097,False,False
2510,False,False
5864,False,True
2166,False,False
5904,False,True
1958,False,False
1859,False,False
5966,False,True
6178,False,True
2693,False,False
1203,False,False
2385,False,False
7339,False,False
2751,False,False
8111,False,False
5581,False,True
5572,False,True
8135,False,False
1397,False,False
9017,False,False
2556,False,False
1899,False,False
1370,False,False
1963,False,False
1281,False,False
7353,False,True
5744,False,True
2411,False,False
1671,False,False
6151,False,True
5877,False,True
7335,False,True
1561,False,False
2589,False,False
7839,False,False
1527,False,False
1310,False,False
5179,False,True
2682,False,False
1853,False,False
2434,False,False
1320,Unknown,False
2624,False,False
5169,False,True
1877,False,False
2196,False,False
2070,False,False
2233,False,False
2205,False,False
2685,False,False
6117,False,True
2028,False,False
2506,False,False
1493,False,False
6064,False,True
6356,False,True
5908,False,True
6043,False,True
5721,False,True
1160,False,False
7265,False,False
2091,False,False
5334,False,True
7365,False,True
2078,False,False
2001,False,False
1295,False,False
2662,False,False
2071,False,False
1395,False,False
2139,False,False
7236,Unknown,False
2352,True,False
1181,False,False
1550,True,False
6474,False,True
6133,True,True
2681,False,False
5745,True,True
1419,False,False
1199,True,False
6312,False,True
6389,True,True
1782,False,False
1247,True,False
1887,False,False
1601,True,False
2781,False,False
1133,True,False
1436,False,False
1223,True,False
6177,False,True
1634,True,False
5592,False,True
1453,True,False
2735,False,False
5723,True,True
5571,False,True
2542,True,False
1411,False,False
1412,True,False
8086,Unknown,False
2789,False,False
2330,True,False
2636,False,False
1517,True,False
1428,False,False
6041,True,True
1524,False,False
7348,True,True
2377,False,False
2062,True,False
2561,False,False
1157,True,False
5460,False,True
8087,True,False
5288,False,True
1548,True,False
1885,False,False
6377,True,True
1445,False,False
2697,True,False
1452,False,False
6297,True,True
5790,False,True
1277,True,False
2449,False,False
1571,True,False
6154,False,True
2802,True,False
2569,False,False
5283,Unknown,True
5870,False,True
7824,False,False
1849,False,False
6433,False,True
1628,False,False
1913,False,False
5295,False,True
1938,False,False
5885,False,True
5659,False,True
6059,False,True
5754,False,True
2711,False,False
5308,False,True
5717,False,True
1785,False,False
2602,False,False
1736,False,False
2126,False,False
6280,False,True
1313,False,False
2249,False,False
2023,False,False
1211,False,False
5969,False,True
1694,False,False
8136,False,True
5335,False,True
5506,False,True
5954,Unknown,True
6244,False,True
6007,False,True
1721,False,False
5702,False,True
6346,False,True
5465,False,True
6300,False,True
2191,False,False
6475,False,True
2320,False,False
5468,False,True
6159,False,True
1288,False,False
5640,False,True
6367,False,True
5913,False,True
1279,False,False
2331,False,False
1735,False,False
2031,False,False
6341,False,True
6138,False,True
8958,False,False
1866,False,False
1422,False,False
1323,False,False
1368,False,False
1659,False,False
5785,False,True
1210,Unknown,False
5557,False,True
6384,False,True
1825,False,False
1394,False,False
1891,False,False
6073,False,True
2178,False,False
8103,False,False
2694,False,False
2040,False,False
5569,False,True
6417,False,True
1455,False,False
2700,False,False
7863,False,False
5192,False,True
1460,False,False
1229,False,False
5765,False,True
2844,False,True
3671,False,False
3916,False,False
3674,False,False
3776,False,False
3396,False,True
2845,False,True
3896,False,False
3868,False,False
8813,"False}
```",False
3195,Unknown,True
3770,False,False
2957,True,True
8010,False,True
2821,True,True
3992,False,False
3227,True,True
3292,True,True
3548,False,True
4057,True,False
3920,True,False
4025,False,False
8737,True,True
3733,True,False
3950,False,False
8728,True,True
3498,True,True
3032,False,True
8906,True,False
3748,False,False
3804,True,False
3522,False,True
3943,True,False
4099,True,False
3511,True,True
3342,False,True
3730,True,False
3198,False,True
8783,True,False
3425,False,True
3403,Unknown,True
3484,False,True
3761,False,False
8695,False,True
7896,False,True
3444,False,True
3167,False,True
6504,False,False
3009,False,True
3086,False,True
3793,False,False
3673,False,False
8007,False,True
3303,False,True
3627,False,False
3701,False,False
4040,False,False
4107,False,False
7279,False,True
2900,False,True
8995,False,True
3974,False,False
3979,False,False
3825,False,False
3938,False,False
8718,False,True
3252,False,True
3618,False,False
3788,False,False
3031,False,True
8720,False,True
4130,False,False
3506,False,True
8880,False,False
4106,False,False
8760,False,False
3057,False,True
3164,False,True
8637,False,True
8852,False,False
3341,False,True
3450,False,True
3145,False,True
8660,False,True
7306,False,False
3908,False,False
3559,False,True
7984,False,True
3737,False,False
3782,False,False
3546,False,True
2811,False,True
8755,False,True
4199,False,False
3008,False,True
3018,False,True
2917,False,True
2804,False,True
8888,False,False
8639,False,True
3570,Unknown,False
3219,False,True
7282,False,True
3053,False,True
8597,False,True
7968,False,True
8697,False,True
8878,False,False
8751,False,True
3350,False,True
3187,False,True
3569,False,False
3295,False,True
2906,False,True
7932,False,True
7925,False,True
8703,False,True
3740,False,False
3352,False,True
2981,False,True
3762,False,False
8731,False,True
2822,False,True
3391,False,True
3402,False,True
2960,False,True
8863,False,False
8647,False,True
3976,False,False
7918,False,True
2930,Unknown,True
3811,False,False
3413,False,True
6513,False,False
8726,False,True
2878,False,True
8834,False,False
8704,False,True
3672,False,False
2890,False,True
7941,False,True
7895,False,False
3778,False,False
2909,False,True
3882,False,False
3958,False,False
3781,False,False
3635,False,False
8675,False,True
3419,False,True
6487,False,False
3970,False,False
3619,False,False
3322,False,True
7386,False,False
8891,False,False
7891,False,True
3828,False,False
3677,False,False
4179,False,False
3255,Unknown,True
4173,True,False
3542,False,True
7948,True,True
7371,False,True
4113,True,False
8904,False,False
6509,True,False
3926,False,False
8707,True,True
3658,False,False
4054,True,False
3348,False,True
2832,True,True
4062,False,False
8899,True,False
3238,True,True
4086,False,False
2889,True,True
8825,False,False
3109,True,True
7299,False,True
8742,True,True
8976,False,True
8807,True,False
8019,False,True
8747,True,True
3492,False,True
4174,True,False
7308,False,False
8748,Unknown,True
3173,False,True
2921,False,True
3312,False,True
7966,False,True
3300,False,True
3118,False,True
8743,False,True
3087,False,True
2819,False,True
3972,False,False
8875,False,False
2855,False,True
8626,False,True
3171,False,True
8922,False,False
2894,False,True
8025,False,True
3147,False,True
7885,False,False
8775,False,False
3128,False,True
4143,False,False
3897,False,False
3129,False,True
3289,False,True
2829,False,True
3266,False,True
3169,False,True
3536,False,True
3864,False,False
4092,False,False
3137,False,True
8920,False,False
3226,False,True
3764,False,False
8044,False,True
8686,False,True
3878,False,False
3795,False,False
7917,False,True
8869,False,False
3732,False,False
7989,False,True
8006,False,True
2932,False,True
3880,False,False
4043,False,False
3557,False,True
8853,False,False
3954,False,False
4153,False,False
8594,False,True
3355,False,True
2954,False,True
3688,False,False
3043,False,True
8021,False,True
2884,False,True
2891,False,True
4954,Unknown,True
661,True,False
4411,False,True
8301,True,True
415,True,False
614,False,False
6574,True,False
589,True,False
387,False,False
8407,False,True
8441,True,False
6598,False,False
8374,True,True
542,False,False
606,False,False
681,True,False
4620,True,True
715,False,False
391,True,False
5035,False,True
4956,False,True
4803,True,True
4499,False,True
856,True,False
4602,False,True
8406,True,True
437,False,False
1014,True,False
4385,False,True
935,True,False
380,Unknown,False
1122,False,False
8153,True,False
4435,True,True
8323,False,True
8202,True,False
8492,False,True
5091,False,True
400,True,False
691,True,False
5044,False,True
8291,True,True
8472,True,False
7331,False,False
525,True,False
4227,True,True
4758,False,True
452,True,False
473,False,False
735,True,False
4750,False,True
4482,True,True
4641,False,True
1079,True,False
4559,False,True
4633,True,True
8520,False,True
9036,True,True
982,True,False
5008,False,True
8163,Unknown,True
4726,True,True
4820,False,True
717,True,False
696,True,False
4548,False,True
8580,False,False
648,True,False
6566,False,False
596,True,False
8382,False,False
4700,True,True
8389,False,False
5155,True,True
793,False,False
4402,True,True
870,False,False
4470,True,True
883,False,False
4899,True,True
980,False,False
8199,True,True
5034,False,True
4472,True,True
406,False,False
4223,True,True
467,False,False
653,True,False
1061,False,False
8346,True,False
4544,Unknown,True
4350,True,True
4498,True,True
8443,False,False
4225,True,True
556,False,False
8459,False,True
4937,True,True
8411,False,True
4526,True,True
8368,True,True
5030,False,True
4437,False,True
7134,True,True
1119,False,False
8214,True,True
4716,False,True
1046,True,False
510,False,False
498,True,False
826,False,False
7222,True,True
421,False,False
6555,True,False
816,False,False
8377,True,True
8230,False,True
7327,True,True
453,False,False
4812,True,True
588,Unknown,False
781,False,False
8518,False,True
738,False,False
8355,False,True
4584,False,True
4628,False,True
1069,False,False
4723,False,True
1024,False,False
4586,False,True
4727,False,True
5083,False,True
4619,False,True
4972,False,True
8442,False,True
4915,False,True
8314,False,False
6594,False,False
4746,False,True
4204,False,True
813,False,False
465,False,False
4872,False,True
665,False,False
7390,False,True
7071,False,True
4239,False,True
4552,False,True
7121,False,True
8169,Unknown,True
4538,False,True
4310,False,True
642,False,False
4276,False,True
607,False,False
976,False,False
572,False,False
1127,False,False
1009,False,False
624,False,False
8438,False,True
8200,False,False
8249,False,True
8320,False,True
4986,False,True
8273,False,False
8242,False,False
458,False,False
4656,False,True
1064,False,False
4795,False,True
603,False,False
584,False,False
5131,False,True
1106,False,False
5094,False,True
4306,False,True
7223,False,False
995,False,False
6556,Unknown,False
1047,False,False
5093,False,True
4776,False,True
4268,False,True
4887,False,True
8510,False,True
4534,False,True
4583,False,True
4840,False,True
4349,False,True
905,False,False
4765,False,True
628,False,False
4696,False,True
583,False,False
5058,False,True
741,False,False
4784,False,True
8497,False,True
4560,False,True
7101,False,True
4691,False,True
8280,False,True
1005,False,False
593,False,False
948,False,False
850,False,False
747,False,False
8511,False,False
397,Unknown,False
7148,False,True
4981,False,True
7085,False,True
4617,False,True
7109,False,True
544,False,False
8356,False,False
7099,False,True
504,False,False
801,False,False
457,False,False
4518,False,True
4556,False,True
4687,False,True
4799,False,True
567,False,False
5108,False,True
8315,False,True
8234,False,True
4907,False,True
675,False,False
993,False,False
8203,False,False
503,False,False
608,False,False
8197,False,False
730,False,False
8348,False,True
8547,False,True
8239,False,False
5103,True,True
8263,False,False
4406,True,True
4581,True,True
923,False,False
4883,False,True
8347,True,True
861,False,False
4381,True,True
